,importance
Q4_2: Indicate if you felt each of the following since your last survey - Distressed,0.043318923304553406
Q4_6: Indicate if you felt each of the following since your last survey - Guilty,0.03689005445368761
Q4_7: Indicate if you felt each of the following since your last survey - Scared,0.035159403327175875
Q4_3: Indicate if you felt each of the following since your last survey - Excited,0.03294273313451491
Q7_5: Indicate if you did any of the following since your last survey - Prepared food,0.03138055209546979
Q4_5: Indicate if you felt each of the following since your last survey - Strong,0.030494093977805954
Q12_3: Indicate if you did any of the following since your last survey - Meditated,0.029933566964360697
Q4_4: Indicate if you felt each of the following since your last survey - Upset,0.029674431660491312
Q9_4: Indicate if you did any of the following since your last survey - Volunteered,0.029120343707224775
Q4_14: Indicate if you felt each of the following since your last survey - Inspired,0.02849744710365801
Q8_8: Indicate if you did any of the following since your last survey - Enjoyed my hobbies,0.02722410940975552
Q9_3: Indicate if you did any of the following since your last survey - Helped out family/friends,0.02670182138069616
Q7_7: Indicate if you did any of the following since your last survey - Showered,0.026675816054062676
Q4_10: Indicate if you felt each of the following since your last survey - Proud,0.025154795383163942
Q4_18: Indicate if you felt each of the following since your last survey - Jittery,0.024336151059210668
Q9_5: Indicate if you did any of the following since your last survey - Fed pets,0.0241584384819101
Q4_11: Indicate if you felt each of the following since your last survey - Irritable,0.023898126868267658
Q8_3: Indicate if you did any of the following since your last survey - Played a game,0.023844209947976452
Q4_17: Indicate if you felt each of the following since your last survey - Attentive,0.022252578272404174
Q12_2: Indicate if you did any of the following since your last survey - Mindfulness,0.0217035043167953
Q8_7: Indicate if you did any of the following since your last survey - Played with pets,0.02028188150325659
Q4_8: Indicate if you felt each of the following since your last survey - Hostile,0.018618998386278087
Q4_20: Indicate if you felt each of the following since your last survey - Afraid,0.018588490955125877
Q11_3: Indicate if you did any of the following since your last survey - Got my heart rate up,0.017968797364046173
Q4_19: Indicate if you felt each of the following since your last survey - Active,0.01773766977981181
Q4_15: Indicate if you felt each of the following since your last survey - Nervous,0.016889546380895498
Q4_16: Indicate if you felt each of the following since your last survey - Determined,0.016600761016534307
Q7_4: Indicate if you did any of the following since your last survey - Ran errands,0.01658782267658573
Q8_4: Indicate if you did any of the following since your last survey - Watched TV,0.016312272104881696
Q10_1: Indicate if you did any of the following since your last survey - Ate healthy,0.015848443478236537
Q4_9: Indicate if you felt each of the following since your last survey - Enthusiastic,0.015680956986761328
Q8_2: Indicate if you did any of the following since your last survey - Created art,0.01558762817234504
Q10_2: Indicate if you did any of the following since your last survey - Followed diet,0.015175440857495866
Q8_6: Indicate if you did any of the following since your last survey - Played music,0.013952677078292374
Q4_13: Indicate if you felt each of the following since your last survey - Ashamed,0.013648919512277279
Q9_2: Indicate if you did any of the following since your last survey - Did homework,0.012622182905207023
Q4_12: Indicate if you felt each of the following since your last survey - Alert,0.012487011606000877
Q13_2: Indicate if you did any of the following since your last survey - Rested during the day,0.01209593465564085
Q13_3: Indicate if you did any of the following since your last survey - Got up on time,0.011829077257346913
Q11_2: Indicate if you did any of the following since your last survey - Took a stroll,0.010110409026606587
Q8_1: Indicate if you did any of the following since your last survey - Read a book,0.01003662468429033
Q8_5: Indicate if you did any of the following since your last survey - Wrote in a journal,0.009794114077588513
Q7_3: Indicate if you did any of the following since your last survey - Left for school/class,0.00967585174500288
Q10_3: Indicate if you did any of the following since your last survey - Stayed hydrated,0.00942651587642241
Q11_1: Indicate if you did any of the following since your last survey - Exercised,0.008588402092420334
Q13_4: Indicate if you did any of the following since your last survey - Got to sleep,0.0085723554054545
Q13_1: Indicate if you did any of the following since your last survey - Went to bed on time,0.008486807293558576
Q7_8: Indicate if you did any of the following since your last survey - Brushed hair,0.00798673511515378
Q12_1: Indicate if you did any of the following since your last survey - Was thankful,0.00718257155312404
Q12_4: Indicate if you did any of the following since your last survey - Yoga/Tai Chi,0.006530777869334986
Q9_1: Indicate if you did any of the following since your last survey - Was supportive to a friend,0.0059662314192779975
Q7_9: Indicate if you did any of the following since your last survey - Took medications,0.005450638119024755
Q7_6: Indicate if you did any of the following since your last survey - Brushed teeth,0.005384502635916813
Q8_9: Indicate if you did any of the following since your last survey - Played Sports,0.0045071041587261395
Q7_10: Indicate if you did any of the following since your last survey - Washed up,0.003020553865905521
Q12_6: Indicate if you did any of the following since your last survey - Biofeedback,0.0025778051203741775
Q12_5: Indicate if you did any of the following since your last survey - Prayed,0.0025274436322067907
Q4_1: Indicate if you felt each of the following since your last survey - Interested,0.002298942729405998
Q7_2: Indicate if you did any of the following since your last survey - Got dressed,0.0
Q7_1: Indicate if you did any of the following since your last survey - Got out of bed,0.0
